Gene1,Gene2,Score
AT5G67450,AT3G50470,0.22193347
AT4G38560,AT2G42360,0.22164606
AT5G67450,AT3G49780,0.21998872
AT1G30720,AT1G51680,0.21964943
AT2G19190,AT4G20860,0.21873719
AT3G52450,AT4G20860,0.21765395
AT5G46330,AT1G51680,0.21762526
AT1G30720,AT5G39580,0.21728213
AT5G04140,AT1G65490,0.21719192
AT3G29034,AT1G51890,0.21704297
AT2G42360,AT3G49780,0.21695547
AT5G44585,AT1G05300,0.21686503
AT3G29034,AT5G04140,0.21581823
AT1G21670,AT3G26210,0.21555129
AT1G64280,AT4G38560,0.21549715
AT5G48430,AT5G07440,0.21433827
AT1G14780,AT4G28140,0.21331587
AT1G49000,AT5G67450,0.21322511
AT2G25470,AT2G44380,0.21273383
AT2G25000,AT2G37710,0.21260211
AT3G46280,AT5G66420,0.21152467
AT3G19450,AT5G04140,0.21150560000000002
AT1G64280,AT3G48650,0.21064553
AT1G51890,AT2G39530,0.2102728
AT2G31400,AT5G20250,0.20959865
AT2G39530,AT2G19190,0.20958653
AT1G51680,AT5G66420,0.20913796
AT5G44585,AT3G29034,0.208629
AT2G15620,AT5G04140,0.20834985
AT3G45060,AT2G30490,0.20757483
AT2G44490,AT1G70530,0.20706114
AT3G19930,AT1G51680,0.2066302
AT3G52450,AT2G36690,0.20659854
AT1G51800,AT2G25470,0.20605765
AT2G42360,AT2G19190,0.20598058
AT4G01700,AT1G05300,0.20587428
AT2G02220,AT1G61360,0.20574081
AT1G35160,AT4G33430,0.20564625
AT1G52200,AT1G61380,0.2052844
AT5G48430,AT5G04140,0.205181
AT1G05300,AT2G25470,0.20500766
AT3G22060,AT3G59880,0.20461429999999997
AT3G50470,AT4G31800,0.2042145
AT5G55050,AT5G37600,0.20418670000000003
AT4G31550,AT1G77380,0.20403624
AT2G25000,AT1G12940,0.20394707
AT4G20860,AT1G70530,0.20368402
AT5G04140,AT1G65690,0.20360775
AT1G51620,AT5G55050,0.20346041
AT3G21080,AT1G51890,0.2033277
AT1G61380,AT2G37710,0.20308611
AT3G26210,AT2G02220,0.20262675
AT5G07440,AT5G04140,0.20178859
AT1G64280,AT4G31800,0.20140457
AT5G13930,AT2G15620,0.20093803
AT3G46280,AT2G17740,0.20082971
AT4G20000,AT3G29034,0.20003144
AT5G66420,AT5G48430,0.19979627
AT3G25882,AT5G50200,0.19970779
AT2G39200,AT5G53110,0.19961293
AT4G27730,AT2G25470,0.19901027
AT4G23210,AT4G27730,0.19870898
AT5G20250,AT5G13930,0.19829416
AT1G51800,AT1G52200,0.19730818
AT4G31550,AT1G30720,0.196939
AT5G20250,AT3G19930,0.19649144
AT4G01700,AT2G37710,0.19630302
AT1G65690,AT3G45060,0.19539620000000002
AT5G01540,AT1G61380,0.19518328
AT1G61360,AT2G39200,0.19463956
AT5G07440,AT2G41220,0.19379385
AT2G37040,AT1G15950,0.19359598
AT5G46330,AT3G19450,0.19304316
AT5G67450,AT4G20000,0.19262055
AT1G77380,AT1G65490,0.19247627
AT5G01540,AT1G49000,0.19152237
AT2G36690,AT2G39200,0.19128354
AT5G10450,AT3G26210,0.19121781
AT5G01540,AT1G51890,0.19085069
AT2G37040,AT5G66420,0.19059007
AT2G25000,AT2G01950,0.18999829999999998
AT1G61380,AT2G41220,0.18982349999999998
AT1G51800,AT5G48430,0.18936114
AT3G49780,AT4G27730,0.18890966
AT3G26210,AT1G21670,0.18878756
AT1G49000,AT5G53110,0.18873347
AT2G39530,AT3G46280,0.18849848
AT1G51890,AT3G45060,0.18849045
AT5G66420,AT3G19930,0.18821661
AT3G29034,AT4G20000,0.18811604
AT3G19930,AT2G30490,0.18809417
AT1G65690,AT5G40780,0.18726468
AT1G51680,AT4G08850,0.1856249
AT1G21670,AT5G20250,0.18552946
AT4G35180,AT2G02220,0.18542445
AT2G25000,AT1G64170,0.18519878
AT5G48430,AT3G46280,0.18502422
AT1G21670,AT3G19450,0.18499729
AT3G19930,AT5G20250,0.18482459
AT3G22060,AT4G33430,0.18405022
AT1G37130,AT5G53460,0.18401627
AT1G64170,AT2G44380,0.18365438
AT1G49000,AT4G33430,0.1833241
AT1G05300,AT3G21080,0.18299557
